codigo,nombre,area,semestre,fila,horasTeoria,horasPractica,creditos
MA0101,Matemática general,CIB,0,1,5,0,2
CI0205,Prueba avanzada de inglés,CYD,0,2,0,0,0
MA1102,Cálculo diferencial e integral,CIB,1,1,5,0,4
FI1101,Física general I,CIB,1,2,4,0,3
FI2201,Laboratorio de física general I,CIB,1,3,0,2,1
QU1106,Química básica I,CIB,1,4,4,0,3
QU1102,Laboratorio de química básica I,CIB,1,5,0,2,1
CI1106,Comunicación escrita,CYD,1,6,3,0,2
MI2101,Dibujo técnico,CYD,1,7,4,0,3
IEM0000,Introducción a la Ingeniería Electromecánica,FPH,1,8,2,0,1
FH1000,Centros de formación humanistica,FPH,1,9,3,0,0
MA1103,Cálculo y álgebra lineal,CIB,2,1,4,0,4
FI1102,Física general II,CIB,2,2,4,0,3
FI1202,Laboratorio de física general II,CIB,2,3,0,2,1
CA21XX,Introducción a la computación,AUT,2,5,4,0,3
CI1107,Comunicación oral,CYD,2,6,3,0,1
MI2106,Estática,IMM,2,7,4,0,3
CS2303,Relaciones laborales,FPH,2,8,3,0,2
CS1502,Introducción a la técnica ciencia y tecnología,FPH,2,9,2,0,1
MA2105,Ecuaciones diferenciales,CIB,3,1,4,0,4
FI2103,Física general III,CIB,3,2,4,0,3
IEM2201,Análisis de circuitos I,IEE,3,3,4,0,3
IEM2251,Laboratorio de circuitos I,IEE,3,4,0,2,1
IEM2301,Transductores,IEE,3,5,2,0,2
MI3117,Dinámica,IMM,3,7,4,0,3
CS3404,Seminario de ética en ingeniería,FPH,3,8,3,0,2
SE1100,Actividad cultural I,FPH,3,9,2,0,0
MA2104,Cálculo superior,CIB,4,1,4,0,4
IEM4200,Estadística aplicada I,ADD,4,2,3,0,2
IEM2202,Análisis de circuitos II,IEE,4,3,4,0,3
IEM2252,Laboratorio de circuitos II,IEE,4,4,0,2,1
IEM2302,Instrumentación,IEE,4,5,2,0,2
IEM2352,Laboratorio de instrumentación,IEE,4,6,0,2,1
MI3130,Termodinámica,IMM,4,7,4,0,3
CS4402,Seminario de estudios costarricenses,FPH,4,8,3,0,2
SE1200,Actividad deportiva I,FPH,4,9,0,2,0
CM3207,Métodos numéricos para ingeniería,CIB,5,1,4,0,3
IEM2305,Estadística aplicada II,ADD,5,2,3,0,2
IEM2203,Sistemas analógicos,IEE,5,3,3,0,2
IEM2303,Modelado y simulación de sistemas electromecánicos,AUT,5,5,3,1,3
ME220X,Ciencia e ingeniería de los materiales,IMM,5,6,3,1,3
IEM2105,Manufactura,IMM,5,7,3,0,3
IEM2155,Laboratorio de manufactura,IMM,5,8,0,3,1
CI3203,Inglés para Electromecánica,CYD,5,9,2,0,1
IEM2304,Fundamentos de gestión de proyectos,FPH,6,1,3,0,2
IEM2204,Sistemas digitales,IEE,6,3,3,0,2
IEM2254,Laboratorio de sistemas analógicos y digitales,IEE,6,4,0,2,1
CMXXXX,Transferencia de calor,IMM,6,5,4,0,3
IEM2107,Resistencia de materiales,IMM,6,6,4,0,3
IEM2109,Mecánica de fluidos,IMM,6,7,4,0,3
IEM2159,Laboratorio de mecánica de fluidos,IMM,6,8,0,2,1
IEM2108,Dibujo industrial,CYD,6,9,4,0,3
IEM2400,Metodología de la investigación,FPH,7,1,2,0,1
IEM2205,Máquinas eléctricas I,IEE,7,3,4,0,3
IEM2255,Laboratorio de máquinas eléctricas I,IEE,7,4,0,2,1
IEM2306,Control automático,AUT,7,5,3,0,3
IEM2307,Microprocesadores,AUT,7,6,2,1,2
IEM2113,Sistemas térmicos,IMM,7,7,3,0,3
IEM2163,Laboratorio de sistemas térmicos,IMM,7,8,0,2,1
IEM2112,Elementos de máquinas,IMM,7,9,4,0,3
IEM2206,Máquinas eléctricas II,IEE,8,3,4,0,3
IEM2256,Laboratorio de máquinas eléctricas II,IEE,8,4,0,2,1
IEM2308,Control por eventos discretos,AUT,8,5,3,0,3
IEM2358,Laboratorio de control,AUT,8,6,0,2,1
SE1400,Actividad cultural - deportiva,FPH,8,9,0,2,0
IEM7081,Sistemas de generación y almacenamiento de energía,INS,8,1,3,0,3
MI4212,Instalaciones eléctricas,INS,8,2,4,0,3
MI3116,Turbomáquinas,INS,8,7,4,0,3
MI3119,Laboratorio de turbomáquinas,INS,8,8,0,2,1
MI5215,Sistemas electricos de potencia,INS,9,1,4,0,3
IEM7092,Gestión de la energía,INS,9,2,4,0,3
IEM7095,Sistemas de agua potable y sanitaria,INS,9,5,4,0,3
MI6252,Electroneumática y oleohidraulica,INS,9,6,4,0,3
IEM7097,Laboratorio de electroneumática y oleohidraulica,INS,9,7,0,2,1
IEM7098,Sistemas de refrigeración y aire acondicionado,INS,9,8,3,0,3
IEM7099,Laboratorio de refrigeración y aire acondicionado,INS,9,9,0,2,1
IEM7101,Gestion del ciclo de vida y la transformación digital,INS,10,1,3,0,2
IEM7102,Diseño e integración de instalaciones electromecánicas,INS,10,2,4,0,3
IEM0101,Electiva I,INS,10,5,4,0,3
IEM0102,Electiva II,INS,10,6,4,0,3
IEM0103,Trabajo final de graduación,INS,10,9,0,21,7
IEM2509,Aviónica,AER,8,1,4,0,3
IEM2110,Máquinas y mecanismos,AER,8,2,4,0,3
IEM2511,Sistemas de propulsión,AER,8,7,4,0,3
IEM8091,Sistemas de aeronaves de ala fija y giratoria,AER,9,1,4,0,3
IEM8092,Sistemas de aeronaves no tripulados y de despegue vertical,AER,9,2,4,0,3
IEM2512,Aerodinámica y dinámica de vuelo,AER,9,3,4,0,3
IEM2552,Laboratorio de aerodinámica y dinámica de vuelo,AER,9,4,0,2,1
IEM8104,Materiales en aeronautica,AER,9,5,3,0,2
IEM8105,Análisis mecánico de estructuras y mecanismos de la aeronave,AER,9,6,4,0,3
IEM8103,Gestión del ciclo de vida de la aeronave,AER,9,7,3,0,2
IEM8098,Taller de metrología aeronautica,AER,9,7,2,0,1
IEM8101,Control automático de vuelo y tráfico,AER,10,1,4,0,3
IEM2519,Diseño eléctrico aeroportuario,AER,10,2,3,0,2
IEM0101,Electiva I,AER,10,5,4,0,3
IEM0102,Electiva II,AER,10,6,4,0,3
IEM0103,Trabajo final de graduación,AER,10,9,0,21,7
IEM9081,Sistemas embebidos en tiempo real,SCF,8,1,3,0,2
IEM9082,Laboratorio de sistemas embebidos en tiempo real,SCF,8,2,0,2,1
IEM9087,Tecnología de fabricación de semiconductores y MEMS,SCF,8,7,4,0,3
IEM9088,Ingenieria de sistemas: requerimientos y arquitectura,SCF,8,8,4,0,3
IEM9091,Sistemas de monitoreo e internet de las cosas,SCF,9,1,3,0,3
IEM9092,Sistemas de visión de máquina,SCF,9,2,3,0,3
IEM9093,Sistema de robótica y domótica,SCF,9,3,3,0,3
IEM9094,Laboratorio de sistemas inteligentes,SCF,9,4,0,2,1
IEM9097,Empaque y emsamble de semiconductores y MEMS,SCF,9,7,4,0,3
IEM9098,Ingenieria de sistemas: integración y validación,SCF,9,8,4,0,3
IEM9099,Fundamentos de ciberseguridad,SCF,9,9,3,0,2
IEM9101,Diseño de interfases humano-máquina,SCF,10,1,3,0,3
IEM0101,Electiva I,SCF,10,5,4,0,3
IEM0102,Electiva II,SCF,10,6,4,0,3
IEM9108,Taller de integración de sistemas,SCF,10,8,2,2,2
IEM0103,Trabajo final de graduación,SCF,10,9,0,21,7